SOURCE,TABLE_NAME
DEPM,DEPM_DIM_ANALYSIS01
DEPM,DEPM_DIM_ANALYSIS02
DEPM,DEPM_DIM_ANALYSIS03
DEPM,DEPM_DIM_ANALYSIS04
DEPM,DEPM_DIM_ANALYSIS05
DEPM,DEPM_DIM_ACCOUNT
DEPM,DEPM_DIM_PROJECT
DEPM,DEPM_DIM_RCAT
DEPM,DEPM_DIM_RM100
DEPM,DEPM_DIM_WBS
DEPM,DEPM_DIM_ASSET
DEPM,DEPM_CUBE_LEDGER
DEPM,DEPM_P100
DEPM,DEPM_R100
DEPM,DEPM_R100REPORTING
DEPM,DEPM_P110
DEPM,DEPM_C100
DEPM,DEPM_DIM_ASSETBOOK
DEPM,DEPM_DIM_CM100
DEPM,DEPM_DIM_CAPEX_VERSION
DEPM,DEPM_DIM_FINANCIALYEAR
DEPM,DEPM_DIM_CAPEX_PERIOD
DEPM,DEPM_DIM_PM100
DEPM,DEPM_DIM_PM110
DEPM,DEPM_DIM_RID
DEPM,DEPM_DIM_RA
DEPM,DEPM_LABOUR
DEPM,DEPM_DIM_ANALYSIS06
DEPM,DEPM_DIM_ANALYSIS07
DEPM,DEPM_DIM_ANALYSIS08
DEPM,DEPM_DIM_ANALYSIS09
DEPM,DEPM_DIM_ANALYSIS10
DEPM,DEPM_DIM_CURRENCY
DEPM,DEPM_DIM_EMPLOYEETYPE
DEPM,DEPM_DIM_LABOURLINENO
DEPM,DEPM_DIM_LABOURMEAS
DEPM,DEPM_DIM_LABOURTRXTYPE
DEPM,DEPM_DIM_LDGTRXTYPE
DEPM,DEPM_DIM_LEDGERMEAS
DEPM,DEPM_DIM_MEASURE_TYPE
DEPM,DEPM_DIM_OPEX_PERIOD
DEPM,DEPM_DIM_POSITION
DEPM,DEPM_DIM_OPEX_VERSION
DEPM,DEPM_DIM_YEAR
DEPM,DEPM_AMP
DEPM,DEPM_DIM_AMP_BUSINESSAREA
DEPM,DEPM_DIM_AMP_CODES
DEPM,DEPM_DIM_AMP_EM_CODES
DEPM,DEPM_DIM_AMP_MEAS
DEPM,DEPM_DIM_AMP_PERIOD
DEPM,DEPM_DIM_AMP_PROJECT
DEPM,DEPM_DIM_AMP_VERSION
DEPM,DEPM_DIM_AMP_YEAR
EAM,EAM_R5ACDPARAMS
EAM,EAM_R5ACTCHECKLISTS
EAM,EAM_R5ACTIONCODES
EAM,EAM_R5ACTIVITIES
EAM,EAM_R5ACTSCHEDULES
EAM,EAM_R5ADDETAILS
EAM,EAM_R5ADDPROPERTIES
EAM,EAM_R5ADDRESS
EAM,EAM_R5ADJUSTMENTS
EAM,EAM_R5ALERTGENERATEWO
EAM,EAM_R5ALERTGRIDDATA
EAM,EAM_R5ALERTGRIDPARAMS
EAM,EAM_R5ALERTHISTORY
EAM,EAM_R5ALERTIONPULSE
EAM,EAM_R5ALERTMAIL
EAM,EAM_R5ALERTS
EAM,EAM_R5ALERTSQL
EAM,EAM_R5ALERTTEXTPARAMS
EAM,EAM_R5ALERTWO
EAM,EAM_R5ALERTWOFIELDMAPPING
EAM,EAM_R5ALLTEXTS
EAM,EAM_R5ASPECTPOINTS
EAM,EAM_R5ASPECTS
EAM,EAM_R5AUDATTRIBS
EAM,EAM_R5AUDITPK
EAM,EAM_R5AUDVALUES
EAM,EAM_R5AUTH
EAM,EAM_R5AVAILABILITY
EAM,EAM_R5BARESC
EAM,EAM_R5BINS
EAM,EAM_R5BINSTOCK
EAM,EAM_R5BOILERTEXTS
EAM,EAM_R5BOOKEDHOURS
EAM,EAM_R5CATALOGUE
EAM,EAM_R5CAUSES
EAM,EAM_R5CHARGEDEFSEQUENCE
EAM,EAM_R5CLASSES
EAM,EAM_R5CLOSINGCODEHIERARCHY
EAM,EAM_R5CODESTRUCTURE
EAM,EAM_R5COMPANIES
EAM,EAM_R5CONCLAUSES
EAM,EAM_R5CONFIGSETTINGS
EAM,EAM_R5CONNLOCK
EAM,EAM_R5CONPARTS
EAM,EAM_R5CONTACTCENTEROPTIONS
EAM,EAM_R5CONTRACTS
EAM,EAM_R5COSTCODES
EAM,EAM_R5CURRENCIES
EAM,EAM_R5CUSTOM
EAM,EAM_R5CUSTOMERREQUESTHISTORY
EAM,EAM_R5CUSTOMTEXTS
EAM,EAM_R5DDDATASPY
EAM,EAM_R5DDFIELD
EAM,EAM_R5DEFAULTPAGELAYOUT
EAM,EAM_R5DEPARTMENTSECURITY
EAM,EAM_R5DESCRIPTIONS
EAM,EAM_R5DEVICES
EAM,EAM_R5DOCENTITIES
EAM,EAM_R5DOCKLINES
EAM,EAM_R5DOCKRECEIPTS
EAM,EAM_R5DOCSIZES
EAM,EAM_R5DOCTYPES
EAM,EAM_R5DOCUMENTS
EAM,EAM_R5DRIVERCTRL
EAM,EAM_R5DSCHAVAIL
EAM,EAM_R5DUXLAYOUT
EAM,EAM_R5DWDATAMARTDIMENSIONS
EAM,EAM_R5DWDATAMARTS
EAM,EAM_R5DWDIMENSIONFIELDS
EAM,EAM_R5DWDIMENSIONS
EAM,EAM_R5DWETLDATAMARTS
EAM,EAM_R5DWFACTFIELDS
EAM,EAM_R5DWINDEXES
EAM,EAM_R5DWMETASTATUSES
EAM,EAM_R5EDITIONBACKREPS
EAM,EAM_R5EDITIONFILTERS
EAM,EAM_R5EDITIONUCODES
EAM,EAM_R5ELECARCHIVE
EAM,EAM_R5ELECMAPPING
EAM,EAM_R5ELECSIGN
EAM,EAM_R5ENTAPPHEADER
EAM,EAM_R5ENTITIES
EAM,EAM_R5ENTITYPARTS
EAM,EAM_R5ENTITYSAFETY
EAM,EAM_R5ENTITYTABLES
EAM,EAM_R5EQUIPMENTRANKINGHISTORY
EAM,EAM_R5EQUIPMENTRANKINGS
EAM,EAM_R5ERRSOURCE
EAM,EAM_R5ERRTEXTS
EAM,EAM_R5EVENTCOST
EAM,EAM_R5EVENTOBJECTS
EAM,EAM_R5EVENTPOINTS
EAM,EAM_R5EVENTS
EAM,EAM_R5EVENTS_LASTSTATUSUPDATE
